2025-12-07 16:15:17 [Bot-4] Запущен payout 1000..9999; periodic recovery: interval=200, range=100..200, max_spins=100
2025-12-07 16:15:51 [Bot-4] [LOSS] spin 82 payout=1081 roll=32.5170000000 bet=0.00100000 cycle_loss=0.08200000 loss_total=0.08200000
2025-12-07 16:15:51 [Bot-4] [LOSS] spin 83 payout=1082 roll=44.5930000000 bet=0.00100000 cycle_loss=0.08300000 loss_total=0.08300000
2025-12-07 16:15:52 [Bot-4] [LOSS] spin 84 payout=1083 roll=28.2190000000 bet=0.00100000 cycle_loss=0.08400000 loss_total=0.08400000
2025-12-07 16:15:53 [Bot-4] [LOSS] spin 85 payout=1084 roll=71.2340000000 bet=0.00100000 cycle_loss=0.08500000 loss_total=0.08500000
2025-12-07 16:15:53 [Bot-4] [LOSS] spin 86 payout=1085 roll=30.8220000000 bet=0.00100000 cycle_loss=0.08600000 loss_total=0.08600000
2025-12-07 16:15:54 [Bot-4] [LOSS] spin 87 payout=1086 roll=29.9710000000 bet=0.00100000 cycle_loss=0.08700000 loss_total=0.08700000
2025-12-07 16:15:54 [Bot-4] [LOSS] spin 88 payout=1087 roll=6.8460000000 bet=0.00100000 cycle_loss=0.08800000 loss_total=0.08800000
2025-12-07 16:15:55 [Bot-4] [LOSS] spin 89 payout=1088 roll=97.4420000000 bet=0.00100000 cycle_loss=0.08900000 loss_total=0.08900000
2025-12-07 16:15:55 [Bot-4] [LOSS] spin 90 payout=1089 roll=38.5450000000 bet=0.00100000 cycle_loss=0.09000000 loss_total=0.09000000
2025-12-07 16:15:56 [Bot-4] [LOSS] spin 91 payout=1090 roll=21.2440000000 bet=0.00100000 cycle_loss=0.09100000 loss_total=0.09100000
2025-12-07 16:15:56 [Bot-4] [LOSS] spin 92 payout=1091 roll=82.5280000000 bet=0.00100000 cycle_loss=0.09200000 loss_total=0.09200000
2025-12-07 16:15:56 [Bot-4] [LOSS] spin 93 payout=1092 roll=56.8120000000 bet=0.00100000 cycle_loss=0.09300000 loss_total=0.09300000
2025-12-07 16:15:57 [Bot-4] [LOSS] spin 94 payout=1093 roll=92.1010000000 bet=0.00100000 cycle_loss=0.09400000 loss_total=0.09400000
2025-12-07 16:15:57 [Bot-4] [LOSS] spin 95 payout=1094 roll=79.4280000000 bet=0.00100000 cycle_loss=0.09500000 loss_total=0.09500000
2025-12-07 16:15:57 [Bot-4] [LOSS] spin 96 payout=1095 roll=82.3560000000 bet=0.00100000 cycle_loss=0.09600000 loss_total=0.09600000
2025-12-07 16:15:58 [Bot-4] [LOSS] spin 97 payout=1096 roll=4.6640000000 bet=0.00100000 cycle_loss=0.09700000 loss_total=0.09700000
2025-12-07 16:15:59 [Bot-4] [LOSS] spin 98 payout=1097 roll=14.8900000000 bet=0.00100000 cycle_loss=0.09800000 loss_total=0.09800000
2025-12-07 16:15:59 [Bot-4] [LOSS] spin 99 payout=1098 roll=47.9480000000 bet=0.00100000 cycle_loss=0.09900000 loss_total=0.09900000
2025-12-07 16:15:59 [Bot-4] [LOSS] spin 100 payout=1099 roll=13.8210000000 bet=0.00100000 cycle_loss=0.10000000 loss_total=0.10000000
2025-12-07 16:16:00 [Bot-4] [LOSS] spin 101 payout=1100 roll=79.4720000000 bet=0.00100000 cycle_loss=0.10100000 loss_total=0.10100000
2025-12-07 16:16:00 [Bot-4] [LOSS] spin 102 payout=1101 roll=56.2540000000 bet=0.00100000 cycle_loss=0.10200000 loss_total=0.10200000
2025-12-07 16:16:01 [Bot-4] [LOSS] spin 103 payout=1102 roll=77.9410000000 bet=0.00100000 cycle_loss=0.10300000 loss_total=0.10300000
2025-12-07 16:16:01 [Bot-4] [LOSS] spin 104 payout=1103 roll=74.6460000000 bet=0.00100000 cycle_loss=0.10400000 loss_total=0.10400000
2025-12-07 16:16:02 [Bot-4] [LOSS] spin 105 payout=1104 roll=24.3100000000 bet=0.00100000 cycle_loss=0.10500000 loss_total=0.10500000
2025-12-07 16:16:02 [Bot-4] [LOSS] spin 106 payout=1105 roll=88.8090000000 bet=0.00100000 cycle_loss=0.10600000 loss_total=0.10600000
2025-12-07 16:16:02 [Bot-4] [LOSS] spin 107 payout=1106 roll=47.0400000000 bet=0.00100000 cycle_loss=0.10700000 loss_total=0.10700000
2025-12-07 16:16:02 [Bot-4] [LOSS] spin 108 payout=1107 roll=69.0990000000 bet=0.00100000 cycle_loss=0.10800000 loss_total=0.10800000
2025-12-07 16:16:03 [Bot-4] [LOSS] spin 109 payout=1108 roll=23.7270000000 bet=0.00100000 cycle_loss=0.10900000 loss_total=0.10900000
2025-12-07 16:16:03 [Bot-4] [LOSS] spin 110 payout=1109 roll=55.1270000000 bet=0.00100000 cycle_loss=0.11000000 loss_total=0.11000000
2025-12-07 16:16:04 [Bot-4] [LOSS] spin 111 payout=1110 roll=18.8420000000 bet=0.00100000 cycle_loss=0.11100000 loss_total=0.11100000
2025-12-07 16:16:04 [Bot-4] [LOSS] spin 112 payout=1111 roll=44.1900000000 bet=0.00100000 cycle_loss=0.11200000 loss_total=0.11200000
2025-12-07 16:16:05 [Bot-4] [LOSS] spin 113 payout=1112 roll=5.7950000000 bet=0.00100000 cycle_loss=0.11300000 loss_total=0.11300000
2025-12-07 16:16:05 [Bot-4] [LOSS] spin 114 payout=1113 roll=45.0170000000 bet=0.00100000 cycle_loss=0.11400000 loss_total=0.11400000
2025-12-07 16:16:06 [Bot-4] [LOSS] spin 115 payout=1114 roll=62.4900000000 bet=0.00100000 cycle_loss=0.11500000 loss_total=0.11500000
2025-12-07 16:16:06 [Bot-4] [LOSS] spin 116 payout=1115 roll=72.1480000000 bet=0.00100000 cycle_loss=0.11600000 loss_total=0.11600000
2025-12-07 16:16:06 [Bot-4] [LOSS] spin 117 payout=1116 roll=5.7230000000 bet=0.00100000 cycle_loss=0.11700000 loss_total=0.11700000
2025-12-07 16:16:07 [Bot-4] [LOSS] spin 118 payout=1117 roll=0.1760000000 bet=0.00100000 cycle_loss=0.11800000 loss_total=0.11800000
2025-12-07 16:16:07 [Bot-4] [LOSS] spin 119 payout=1118 roll=79.1100000000 bet=0.00100000 cycle_loss=0.11900000 loss_total=0.11900000
2025-12-07 16:16:08 [Bot-4] [LOSS] spin 120 payout=1119 roll=17.6850000000 bet=0.00100000 cycle_loss=0.12000000 loss_total=0.12000000
2025-12-07 16:16:08 [Bot-4] [LOSS] spin 121 payout=1120 roll=0.3720000000 bet=0.00100000 cycle_loss=0.12100000 loss_total=0.12100000
2025-12-07 16:16:08 [Bot-4] [LOSS] spin 122 payout=1121 roll=78.4580000000 bet=0.00100000 cycle_loss=0.12200000 loss_total=0.12200000
2025-12-07 16:16:09 [Bot-4] [LOSS] spin 123 payout=1122 roll=50.8280000000 bet=0.00100000 cycle_loss=0.12300000 loss_total=0.12300000
2025-12-07 16:16:09 [Bot-4] [LOSS] spin 124 payout=1123 roll=90.4840000000 bet=0.00100000 cycle_loss=0.12400000 loss_total=0.12400000
2025-12-07 16:16:10 [Bot-4] [LOSS] spin 125 payout=1124 roll=3.2810000000 bet=0.00100000 cycle_loss=0.12500000 loss_total=0.12500000
2025-12-07 16:16:10 [Bot-4] [LOSS] spin 126 payout=1125 roll=73.6180000000 bet=0.00100000 cycle_loss=0.12600000 loss_total=0.12600000
2025-12-07 16:16:10 [Bot-4] [LOSS] spin 127 payout=1126 roll=81.6150000000 bet=0.00100000 cycle_loss=0.12700000 loss_total=0.12700000
2025-12-07 16:16:11 [Bot-4] [LOSS] spin 128 payout=1127 roll=80.1500000000 bet=0.00100000 cycle_loss=0.12800000 loss_total=0.12800000
2025-12-07 16:16:11 [Bot-4] [LOSS] spin 129 payout=1128 roll=68.2680000000 bet=0.00100000 cycle_loss=0.12900000 loss_total=0.12900000
2025-12-07 16:16:12 [Bot-4] [LOSS] spin 130 payout=1129 roll=14.9090000000 bet=0.00100000 cycle_loss=0.13000000 loss_total=0.13000000
2025-12-07 16:16:12 [Bot-4] [LOSS] spin 131 payout=1130 roll=16.7330000000 bet=0.00100000 cycle_loss=0.13100000 loss_total=0.13100000
2025-12-07 16:16:13 [Bot-4] [LOSS] spin 132 payout=1131 roll=8.4090000000 bet=0.00100000 cycle_loss=0.13200000 loss_total=0.13200000
2025-12-07 16:16:13 [Bot-4] [LOSS] spin 133 payout=1132 roll=52.6670000000 bet=0.00100000 cycle_loss=0.13300000 loss_total=0.13300000
2025-12-07 16:16:14 [Bot-4] [LOSS] spin 134 payout=1133 roll=2.3330000000 bet=0.00100000 cycle_loss=0.13400000 loss_total=0.13400000
2025-12-07 16:16:14 [Bot-4] [LOSS] spin 135 payout=1134 roll=89.4430000000 bet=0.00100000 cycle_loss=0.13500000 loss_total=0.13500000
2025-12-07 16:16:15 [Bot-4] [LOSS] spin 136 payout=1135 roll=36.3410000000 bet=0.00100000 cycle_loss=0.13600000 loss_total=0.13600000
2025-12-07 16:16:15 [Bot-4] [LOSS] spin 137 payout=1136 roll=60.8960000000 bet=0.00100000 cycle_loss=0.13700000 loss_total=0.13700000
2025-12-07 16:16:16 [Bot-4] [LOSS] spin 138 payout=1137 roll=24.5210000000 bet=0.00100000 cycle_loss=0.13800000 loss_total=0.13800000
2025-12-07 16:16:16 [Bot-4] [LOSS] spin 139 payout=1138 roll=54.4360000000 bet=0.00100000 cycle_loss=0.13900000 loss_total=0.13900000
2025-12-07 16:16:16 [Bot-4] [LOSS] spin 140 payout=1139 roll=45.9730000000 bet=0.00100000 cycle_loss=0.14000000 loss_total=0.14000000
2025-12-07 16:16:17 [Bot-4] [LOSS] spin 141 payout=1140 roll=37.4740000000 bet=0.00100000 cycle_loss=0.14100000 loss_total=0.14100000
2025-12-07 16:16:17 [Bot-4] [LOSS] spin 142 payout=1141 roll=5.5920000000 bet=0.00100000 cycle_loss=0.14200000 loss_total=0.14200000
2025-12-07 16:16:17 [Bot-4] [LOSS] spin 143 payout=1142 roll=84.2770000000 bet=0.00100000 cycle_loss=0.14300000 loss_total=0.14300000
2025-12-07 16:16:18 [Bot-4] [LOSS] spin 144 payout=1143 roll=6.8110000000 bet=0.00100000 cycle_loss=0.14400000 loss_total=0.14400000
2025-12-07 16:16:18 [Bot-4] [LOSS] spin 145 payout=1144 roll=89.8330000000 bet=0.00100000 cycle_loss=0.14500000 loss_total=0.14500000
2025-12-07 16:16:18 [Bot-4] [Bot-4] 🔎 Settings: MinBet=0.001 Edge=1.0 (frac=0.01)
2025-12-07 16:16:19 [Bot-4] [LOSS] spin 146 payout=1145 roll=36.5150000000 bet=0.00100000 cycle_loss=0.14600000 loss_total=0.14600000
2025-12-07 16:16:19 [Bot-4] [LOSS] spin 147 payout=1146 roll=29.0420000000 bet=0.00100000 cycle_loss=0.14700000 loss_total=0.14700000
2025-12-07 16:16:19 [Bot-4] [LOSS] spin 148 payout=1147 roll=15.6730000000 bet=0.00100000 cycle_loss=0.14800000 loss_total=0.14800000
2025-12-07 16:16:20 [Bot-4] [LOSS] spin 149 payout=1148 roll=70.9570000000 bet=0.00100000 cycle_loss=0.14900000 loss_total=0.14900000
2025-12-07 16:16:20 [Bot-4] [LOSS] spin 150 payout=1149 roll=42.2680000000 bet=0.00100000 cycle_loss=0.15000000 loss_total=0.15000000
2025-12-07 16:16:20 [Bot-4] [LOSS] spin 151 payout=1150 roll=85.6090000000 bet=0.00100000 cycle_loss=0.15100000 loss_total=0.15100000
2025-12-07 16:16:21 [Bot-4] [LOSS] spin 152 payout=1151 roll=19.2150000000 bet=0.00100000 cycle_loss=0.15200000 loss_total=0.15200000
2025-12-07 16:16:21 [Bot-4] [LOSS] spin 153 payout=1152 roll=85.0950000000 bet=0.00100000 cycle_loss=0.15300000 loss_total=0.15300000
2025-12-07 16:16:21 [Bot-4] [LOSS] spin 154 payout=1153 roll=23.0440000000 bet=0.00100000 cycle_loss=0.15400000 loss_total=0.15400000
2025-12-07 16:16:22 [Bot-4] [LOSS] spin 155 payout=1154 roll=22.6810000000 bet=0.00100000 cycle_loss=0.15500000 loss_total=0.15500000
2025-12-07 16:16:22 [Bot-4] [LOSS] spin 156 payout=1155 roll=16.4880000000 bet=0.00100000 cycle_loss=0.15600000 loss_total=0.15600000
2025-12-07 16:16:23 [Bot-4] [LOSS] spin 157 payout=1156 roll=10.1570000000 bet=0.00100000 cycle_loss=0.15700000 loss_total=0.15700000
2025-12-07 16:16:23 [Bot-4] [LOSS] spin 158 payout=1157 roll=80.9270000000 bet=0.00100000 cycle_loss=0.15800000 loss_total=0.15800000
2025-12-07 16:16:23 [Bot-4] [LOSS] spin 159 payout=1158 roll=38.1350000000 bet=0.00100000 cycle_loss=0.15900000 loss_total=0.15900000
2025-12-07 16:16:24 [Bot-4] [LOSS] spin 160 payout=1159 roll=49.7020000000 bet=0.00100000 cycle_loss=0.16000000 loss_total=0.16000000
2025-12-07 16:16:24 [Bot-4] [LOSS] spin 161 payout=1160 roll=79.7390000000 bet=0.00100000 cycle_loss=0.16100000 loss_total=0.16100000
2025-12-07 16:16:25 [Bot-4] [LOSS] spin 162 payout=1161 roll=31.0180000000 bet=0.00100000 cycle_loss=0.16200000 loss_total=0.16200000
