Python 3.13.7 (tags/v3.13.7:bcee1c3, Aug 14 2025, 14:15:11) [MSC v.1944 64 bit (AMD64)] on win32
Enter "help" below or click "Help" above for more information.

= RESTART: C:\Users\Kokkc\Downloads\crypto_games_bot_stable_100-9999_norm_versiya_Version36_Version9.py
22:03:07 [Bot-1] Запущен payout 1000..9999 highroll99=False
22:03:07 [Bot-2] Запущен payout 1000..9999 highroll99=False
22:03:07 [Bot-3] Запущен payout 1000..9999 highroll99=False
22:03:07 [Bot-4] Запущен payout 1000..9999 highroll99=False
22:03:08 [Bot-2] [Bot-2] Старт баланс=33.34213908
22:03:08 [Bot-1] [Bot-1] Старт баланс=33.34213908
22:03:08 [Bot-3] [Bot-3] Старт баланс=33.34213908
22:03:08 [Bot-4] [Bot-4] Старт баланс=33.34213908
22:03:08 [Bot-1] [Bot-1] 🔎 Settings: MinBet=0.001 Edge=1.0
22:03:08 [Bot-3] [Bot-3] 🔎 Settings: MinBet=0.001 Edge=1.0
22:03:08 [Bot-2] [Bot-2] 🔎 Settings: MinBet=0.001 Edge=1.0
22:03:08 [Bot-4] [Bot-4] 🔎 Settings: MinBet=0.001 Edge=1.0
22:03:15 [Bot-1] [LOSS] spin 21 payout=1020 roll=81.0140000000 bet=0.00100000
22:03:15 [Bot-3] [LOSS] spin 22 payout=1021 roll=32.2990000000 bet=0.00100000
22:03:15 [Bot-2] [LOSS] spin 22 payout=1021 roll=64.5670000000 bet=0.00100000
22:03:15 [Bot-4] [LOSS] spin 21 payout=1020 roll=42.2560000000 bet=0.00100000
22:03:15 [Bot-3] [LOSS] spin 23 payout=1022 roll=35.3580000000 bet=0.00100000
22:03:15 [Bot-2] [LOSS] spin 23 payout=1022 roll=63.7950000000 bet=0.00100000
22:03:16 [Bot-4] [LOSS] spin 22 payout=1021 roll=6.0230000000 bet=0.00100000
22:03:16 [Bot-3] [LOSS] spin 24 payout=1023 roll=53.0680000000 bet=0.00100000
22:03:16 [Bot-1] [LOSS] spin 22 payout=1021 roll=6.5320000000 bet=0.00100000
22:03:16 [Bot-2] [LOSS] spin 24 payout=1023 roll=7.8660000000 bet=0.00100000
22:03:16 [Bot-4] [LOSS] spin 23 payout=1022 roll=13.6200000000 bet=0.00100000
22:03:16 [Bot-3] [LOSS] spin 25 payout=1024 roll=67.1520000000 bet=0.00100000
22:03:16 [Bot-1] [LOSS] spin 23 payout=1022 roll=49.8280000000 bet=0.00100000
22:03:16 [Bot-2] [LOSS] spin 25 payout=1024 roll=5.0680000000 bet=0.00100000
22:03:16 [Bot-4] [LOSS] spin 24 payout=1023 roll=38.5940000000 bet=0.00100000
22:03:16 [Bot-3] [LOSS] spin 26 payout=1025 roll=37.4750000000 bet=0.00100000
22:03:16 [Bot-1] [LOSS] spin 24 payout=1023 roll=5.4660000000 bet=0.00100000
22:03:16 [Bot-2] [LOSS] spin 26 payout=1025 roll=21.9160000000 bet=0.00100000
22:03:17 [Bot-4] [LOSS] spin 25 payout=1024 roll=59.1660000000 bet=0.00100000
22:03:17 [Bot-3] [LOSS] spin 27 payout=1026 roll=54.2010000000 bet=0.00100000
22:03:17 [Bot-1] [LOSS] spin 25 payout=1024 roll=72.7600000000 bet=0.00100000
22:03:17 [Bot-2] [LOSS] spin 27 payout=1026 roll=75.1260000000 bet=0.00100000
22:03:17 [Bot-4] [LOSS] spin 26 payout=1025 roll=49.1020000000 bet=0.00100000
22:03:17 [Bot-3] [LOSS] spin 28 payout=1027 roll=23.4660000000 bet=0.00100000
22:03:17 [Bot-1] [LOSS] spin 26 payout=1025 roll=44.3300000000 bet=0.00100000
22:03:17 [Bot-2] [LOSS] spin 28 payout=1027 roll=48.5410000000 bet=0.00100000
22:03:17 [Bot-4] [LOSS] spin 27 payout=1026 roll=8.9610000000 bet=0.00100000
22:03:17 [Bot-3] [LOSS] spin 29 payout=1028 roll=19.9040000000 bet=0.00100000
22:03:17 [Bot-1] [LOSS] spin 27 payout=1026 roll=59.6820000000 bet=0.00100000
22:03:18 [Bot-2] [LOSS] spin 29 payout=1028 roll=29.6290000000 bet=0.00100000
